uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
79901759380,冀看点,hebnews24h,是,9606086,"'1-20s视频': 6300, '20-60s视频': 7350",258040.0
111623848623,老铁商务车改装,LAOTIEGL8,否,1857594,,
109269607125,Fulltest 汽车实验室,Qiuzhang8888888,是,2228141,"'1-20s视频': 50000, '20-60s视频': 80000",541426.0
4234919050228126,赶早创工坊,ganzao,是,993195,"'1-20s视频': 3000, '20-60s视频': 3100",49923.0
95531138787,一鹿有车,yiluyouche168,是,740989,"'1-20s视频': 150000, '20-60s视频': 250000",234949.0
85798196374,小鹏汽车,Xmotors,是,700127,"'1-20s视频': 80000, '20-60s视频': 100000",34964.0
104683054894,杜玉明,duyuming1234,是,4108158,"'1-20s视频': 80000, '20-60s视频': 100000",304647.0
254682207105182,猫叔说电影,maoshu250,是,4302595,"'1-20s视频': 3000, '20-60s视频': 25000",808993.0
104341238660,Vista看天下,vistaweek,是,5500886,"'1-20s视频': 10500, '20-60s视频': 10500",98622.0
94298514769,景甜,JingTian_Studio,否,4633923,,
3953481252352174,天天鉴宝——“估玩”,ttjianbao03,否,2888489,,
94345968020,中国烹饪大师郝大厨,haodachu,是,3180495,"'1-20s视频': 35000, '20-60s视频': 50000",102283.0
1433382769924247,王石,wangshi0123,否,671428,,
91562060689,暴走夫妻,wgnc,是,3483932,"'1-20s视频': 30000, '20-60s视频': 40000",501826.0
77091788887,小米电视,mitv666,否,286285,,
58944980339,悦悦Moon,yueyue_0121,是,4203856,"'1-20s视频': 45000, '20-60s视频': 75000",588072.0
2062327244133220,老五煲汤,L5BT,是,1642316,"'1-20s视频': 15000, '20-60s视频': 15000",88822.0
82465429492,奶酪和neo,171986481,是,3063557,"'1-20s视频': 70000, '20-60s视频': 80000",456376.0
62922566113,邓超工作室,dengchaostudio,否,6817422,,
81330421866,小石头和孩子们,xstmusic,是,5597569,"'1-20s视频': 20000, '20-60s视频': 30000",463774.0
104360961996,直新闻,Zhixinwen,是,1691164,"'1-20s视频': 10000, '20-60s视频': 30000",11699.0
69256282165,达莎梅爱偲,Dashamei,是,1175989,"'1-20s视频': 14000, '20-60s视频': 20000",101693.0
59126404656,火线妹,hxm6,是,10855640,"'1-20s视频': 130000, '20-60s视频': 150000",1032083.0
100388621525,厦门大龙-飞机拍摄,DL9888,否,1929382,,
4366901703350356,大乐,DL85460,是,9605463,"'1-20s视频': 143700, '20-60s视频': 143700",3137307.0
93166384405,潘阳,,否,7297312,,
2475695182196212,陈老师估车,T15314595173,是,1015708,"'1-20s视频': 30000, '20-60s视频': 35000",1605944.0
98153518666,大胡子说房,dhz907,是,1180384,"'1-20s视频': 10000, '20-60s视频': 70000",158500.0
77970239577,驰新闻,chixinwen,否,5172082,,
85360271068,凡尘君,chengsj,否,6419129,,
110129528446,日照东港发布,RZdonggangfabu,否,7806034,,
75472935289,不可思议incredible,UFO102,是,1964548,"'1-20s视频': 9800, '20-60s视频': 13000",91119.0
82103605617,支付宝那些事,,否,1742835,,
3016708170197271,绝密研究所所长,shengmiyanjiu,是,3594765,"'1-20s视频': 23200, '20-60s视频': 23200",335371.0
105270531979,吕良伟,Raylui8899,是,1740512,"'1-20s视频': 6900, '20-60s视频': 350000",304689.0
110520360448,沈主任说脊椎,st383,是,4378827,"'1-20s视频': 10000, '20-60s视频': 20000",123036.0
75082632898,发烧门诊室,FaShao,是,1032026,"'1-20s视频': 1000, '20-60s视频': 18000",139807.0
95371247360,胡成功,HCG1987,是,3919468,"'1-20s视频': 52600, '20-60s视频': 52600",1706200.0
70266998738,郭大侠,guodaxia9411,是,4733973,"'1-20s视频': 200000, '20-60s视频': 200000",10716062.0
2013901224683528,最高人民检察院,zgrmjcy01,否,1887746,,
100802932717,杨毅,1096996129,是,1289004,"'1-20s视频': 35000, '20-60s视频': 35000",1742109.0
4410871461720119,WillSmith_威尔史密斯,willsmithcn,否,2276058,,
1006794830778572,虎哥脱口秀,talkshow1111,是,2344069,"'1-20s视频': 5000, '20-60s视频': 10000",53408.0
